document_id,title,filename,version,effective_date,category_raw,status,allowed_roles,supersedes_id,change_summary,source_url
BPT-FIN-ESPP-016,Employee Stock Purchase Plan and Financial Wellness,08_Employee_Stock_Purchase_Plan_and_Financial_Wellness.pdf,v1.0,2026-01-01,Benefits,Approved,Employee;Manager;Executive,,,https://
BPT-HR-LND-010,Learning and Development Reimbursement Policy,10_Learning_and_Development_Reimbursement_Policy.pdf,v1.0,2026-01-01,Reimbursements,Approved,Employee;Manager;Executive,,,https://
BPT-HR-ONB-012,Offboarding and Separation Handbook,12_Offboarding_and_Separation_Handbook.pdf,v1.0,2026-01-01,Payroll,Approved,Employee;Manager;Executive,,,https://
BPT-IT-AUP-127,Acceptable Use of Company Devices,Acceptable Use of Company Devices.pdf,v1.0,2026-08-01,IT and Security,Approved,Employee;Manager;Executive,,"Established comprehensive device, communications, software, AI, BYOD, monitoring, and return requirements.",https://employee.bluepeaktech.com/resources/it-security/policies/acceptable-use-company-devices
BPT-HR-ATT-110,Attendance & Timekeeping Policy,Attendance & Timekeeping Policy.pdf,v1.0,2026-08-01,Leave and Attendance,Approved,Employee;Manager;Executive,,Initial controlled attendance and timekeeping standard.,https://employee.bluepeaktech.com/resources/hr/attendance-timekeeping
BPT-HR-BER-013,Bereavement Leave Policy,Bereavement Leave Policy.pdf,v2.0,2026-08-01,Leave and Attendance,Approved,Employee;Manager;Executive,BPT-HR-BER-013,"Approved and expanded the bereavement policy with flexible scheduling, pregnancy-loss treatment, and support resources.",https://employee.bluepeaktech.com/resources/hr/leave/bereavement
BPT-LEGAL-VND-018,BluePeak and Microsoft Contract and Policies,BluePeak and Microsoft Contract and Policies.pdf,v1.0,2026-08-13,,Approved,Executive,,"v1.0 - 2026-08-13 Initial fictional sample. Added commercial framework, privacy/security policies, AI controls, onboarding/offboarding, incident response, continuity, and sample-only safeguards. Sample governance rule: retain the prominent fictional-status notice and footer whenever this document is copied, converted, printed, or shared.",
BPT-LEG-COC-103,Company Code of Conduct,Company Code of Conduct.pdf,v1.0,2026-08-01,Employee Handbook and Company Information,Approved,Employee;Manager;Executive,,"Initial comprehensive code with reporting, decision framework, and role-specific standards.",https://employee.bluepeaktech.com/resources/legal/code-of-conduct
BPT-CORP-ORG-105,Company Organizational Chart,Company Organizational Chart.pdf,v1.0,2026-08-01,Employee Handbook and Company Information,Approved,Employee;Manager;Executive,,Initial controlled organization chart and operating-model reference.,https://employee.bluepeaktech.com/resources/company/organizational-chart
BPT-FIN-CC-121,Corporate Credit Card Policy,Corporate Credit Card Policy.pdf,v1.0,2026-08-01,Travel and Expenses,Approved,Employee;Manager;Executive,,Established a standalone cardholder policy and monthly control framework.,https://employee.bluepeaktech.com/resources/finance/travel/corporate-credit-card
