document_id,document_name,policy_category,status,uploaded_by,uploaded_date,approved_by,approved_date,blob_path,access_roles
BPT-HR-PTO-001,Paid Time Off Policy,Leave,Approved,hr.admin@bluepeak.example,2026-01-01,people.ops@bluepeak.example,2026-01-01,policies/01_Paid_Time_Off_Policy.pdf,Employee;Manager;Executive
BPT-HR-SICK-002,Sick Leave and Medical Absence Policy,Leave,Approved,hr.admin@bluepeak.example,2026-01-01,people.ops@bluepeak.example,2026-01-01,policies/02_Sick_Leave_and_Medical_Absence_Policy.pdf,Employee;Manager;Executive
BPT-HR-LEAVE-003,Family and Parental Leave Policy,Leave,Approved,hr.admin@bluepeak.example,2026-01-01,people.ops@bluepeak.example,2026-01-01,policies/03_Family_and_Parental_Leave_Policy.pdf,Employee;Manager;Executive
BPT-FIN-EXP-004,Travel and Expense Reimbursement Policy,Travel,Approved,hr.admin@bluepeak.example,2026-01-01,people.ops@bluepeak.example,2026-01-01,policies/04_Travel_and_Expense_Reimbursement_Policy.pdf,Employee;Manager;Executive
BPT-HR-HYB-005,Hybrid and Remote Work Policy,Benefits,Approved,hr.admin@bluepeak.example,2026-01-01,people.ops@bluepeak.example,2026-01-01,policies/05_Hybrid_and_Remote_Work_Policy.pdf,Employee;Manager;Executive
BPT-HR-GUIDE-006,Employee Support and HR Requests Guide,Leave,Approved,hr.admin@bluepeak.example,2026-01-01,people.ops@bluepeak.example,2026-01-01,policies/06_Employee_Support_and_HR_Requests_Guide.pdf,Employee;Manager;Executive
BPT-HR-BEN-007,Health and Welfare Benefits Guide,Insurance,Approved,hr.admin@bluepeak.example,2026-01-01,people.ops@bluepeak.example,2026-01-01,policies/07_Health_and_Welfare_Benefits_Guide.pdf,Employee;Manager;Executive
BPT-FIN-RET-008,Retirement and Financial Benefits Policy,Benefits,Approved,hr.admin@bluepeak.example,2026-01-01,people.ops@bluepeak.example,2026-01-01,policies/08_Retirement_and_Financial_Benefits_Policy.pdf,Employee;Manager;Executive
BPT-FIN-PAY-009,Compensation and Payroll Guide,Payroll,Approved,hr.admin@bluepeak.example,2026-01-01,people.ops@bluepeak.example,2026-01-01,policies/09_Compensation_and_Payroll_Guide.pdf,Manager;Executive
BPT-HR-LND-010,Learning and Development Reimbursement Policy,Reimbursements,Approved,hr.admin@bluepeak.example,2026-01-01,people.ops@bluepeak.example,2026-01-01,policies/10_Learning_and_Development_Reimbursement_Policy.pdf,Employee;Manager;Executive
BPT-IT-SEC-011,Information Security and Acceptable Use Policy,Benefits,Approved,hr.admin@bluepeak.example,2026-01-01,people.ops@bluepeak.example,2026-01-01,policies/11_Information_Security_and_Acceptable_Use_Policy.pdf,Employee;Manager;Executive
BPT-HR-ONB-012,Onboarding and Offboarding Handbook,Payroll,Approved,hr.admin@bluepeak.example,2026-01-01,people.ops@bluepeak.example,2026-01-01,policies/12_Onboarding_and_Offboarding_Handbook.pdf,Manager;Executive
BPT-HR-PTO-001,Paid Time Off Policy Update,Leave,Approved,hr.admin@bluepeak.example,2026-07-01,people.ops@bluepeak.example,2026-07-01,policies/13_Paid_Time_Off_Policy_Update_v2.pdf,Employee;Manager;Executive
BPT-HR-BER-013,Bereavement and Compassionate Leave Policy,Leave,Pending,hr.admin@bluepeak.example,2026-01-01,people.ops@bluepeak.example,,policies/14_Bereavement_and_Compassionate_Leave_Policy.pdf,Employee;Manager;Executive
BPT-FIN-EXP-004-DRAFT,Travel Policy Draft Revision,Travel,Rejected,hr.admin@bluepeak.example,,people.ops@bluepeak.example,,policies/15_Travel_Policy_Draft_Revision_v1.1_DRAFT.pdf,
