question_id,question,expected_status,expected_answer_summary,expected_document_id,expected_section,difficulty,question_type
Q001,how much vacation do i actually get,answered,15 PTO days per calendar year for a full-time employee in the 0-2 year tenure band.,BPT-HR-PTO-001,3. Annual Allowance and Accrual,easy,single_hop
Q002,just started when can i use my vacation balance,answered,Accrued PTO may be used after 30 calendar days of employment.,BPT-HR-PTO-001,4. Requesting Time Off,easy,single_hop
Q003,part time 20 hrs whats my vacation amount,answered,A part-time employee scheduled for 20 hours per week receives 7.5 PTO days.,BPT-HR-PTO-001,2. Scope and Eligibility,medium,single_hop
Q004,how early for a full week off,answered,A request for three or more consecutive workdays must be submitted at least ten business days in advance.,BPT-HR-PTO-001,4. Requesting Time Off,medium,single_hop
Q005,does sick time roll into next year,answered,No. Sick leave does not carry over; unused sick leave expires December 31.,BPT-HR-SICK-002,3. Annual Allowance and Accrual,easy,single_hop
Q006,new hire can i call out sick right away,answered,Yes. Sick leave is available from day one with no waiting period.,BPT-HR-SICK-002,2. Scope and Eligibility,easy,single_hop
Q007,when do they ask for a doctors note,answered,Medical documentation may be requested after three consecutive scheduled workdays.,BPT-HR-SICK-002,5. Medical Documentation,medium,single_hop
Q008,how long off for adopting a kid,answered,An eligible adoptive parent receives 8 weeks of fully paid leave.,BPT-HR-LEAVE-003,5. Non-Birth and Adoptive Parent Leave,easy,single_hop
Q009,foster placement leave amount,answered,An eligible employee receives 4 weeks of fully paid foster placement leave.,BPT-HR-LEAVE-003,6. Foster Placement Leave,easy,single_hop
Q010,do my benefits stop while im on parental leave,answered,No. Health benefits continue unchanged and employee contributions continue to be deducted.,BPT-HR-LEAVE-003,8. Pay and Benefits During Leave,medium,single_hop
Q011,do i need approval before an overnight work trip,answered,Yes. Any overnight trip requires pre-approval.,BPT-FIN-EXP-004,3. Pre-Approval Requirements,easy,single_hop
Q012,can i book premium economy on a long flight,answered,Premium economy is permitted for flights lasting 6 hours or more.,BPT-FIN-EXP-004,4. Booking Travel,medium,single_hop
Q013,can i expense an uber to the airport,answered,Yes. Airport rideshare or taxi travel is reimbursable without a cap when a receipt is provided.,BPT-FIN-EXP-004,5. Reimbursement Limits,medium,single_hop
Q014,do i need the receipt for a 40 dollar charge,answered,Yes. A receipt is required for any single expense over $25.,BPT-FIN-EXP-004,8. Receipts and Documentation,easy,single_hop
Q015,how many office days for hybrid,answered,Hybrid roles require at least 3 onsite days per week.,BPT-HR-HYB-005,3. Onsite Expectations,easy,single_hop
Q016,what hours am i supposed to be reachable,answered,The general core-hours window is 10:00 to 15:00 local time.,BPT-HR-HYB-005,4. Core Hours and Availability,easy,single_hop
Q017,whats the home internet money each month,answered,The internet allowance is $50 per month.,BPT-HR-HYB-005,5. Home Workspace and Equipment,easy,single_hop
Q018,which form changes my bank info,answered,Use Form HR-105 Personal Details Update at https://forms.bluepeak.example/hr-105.,BPT-HR-GUIDE-006,9. Updating Personal and Banking Details,easy,single_hop
Q019,when can i add a new baby to benefits,answered,A qualifying life event allows a benefit election change within 30 days of the event.,BPT-HR-BEN-007,3.2 Qualifying Life Events,medium,single_hop
Q020,which health plan gets an hsa,answered,The HSA is available with the Core medical plan only.,BPT-HR-BEN-007,6. Health Savings Account,easy,single_hop
Q021,how many counseling visits are free,answered,The EAP provides 8 free counseling sessions per issue per year.,BPT-HR-BEN-007,8. Employee Assistance Program,easy,single_hop
Q022,when do i get put in the 401k automatically,answered,Automatic enrollment begins at 3 percent after 60 days unless the employee opts out.,BPT-FIN-RET-008,5. Automatic Enrollment,medium,single_hop
Q023,how much can i borrow from retirement,answered,"One loan is permitted at a time, up to 50 percent of the vested balance and no more than $50,000.",BPT-FIN-RET-008,8. Distributions and Loans,medium,single_hop
Q024,when are paychecks supposed to hit,answered,BluePeak pays semi-monthly on the 15th and the last business day of the month.,BPT-FIN-PAY-009,2. Pay Schedule,easy,single_hop
Q025,weekend work pay rate for hourly staff,answered,A non-exempt employee receives a 2x premium for weekend and holiday work.,BPT-FIN-PAY-009,5. Overtime and Premium Pay,medium,single_hop
Q026,how much tuition help is there,answered,"The annual tuition allowance is $2,500 for degree or accredited programs.",BPT-HR-LND-010,Annual Allowances,easy,single_hop
Q027,how fast do i report a security incident,answered,A security incident must be reported within 24 hours of discovery.,BPT-IT-SEC-011,Incident Reporting,easy,single_hop
Q028,how long is unpaid leave allowed,answered,An unpaid leave of absence is available for up to 12 weeks with People Operations approval.,BPT-HR-ONB-012,Requesting an Unpaid Leave of Absence,easy,single_hop
Q029,having a baby then easing back part time whats the deal,answered,A birth parent receives 16 weeks fully paid; one phased return at a 60 percent schedule is available for up to 4 weeks at full pay. Health benefits continue unchanged during the paid leave.,BPT-HR-LEAVE-003|BPT-HR-BEN-007,4. Birth Parent Leave|9. Intermittent and Phased Return|2. Scope and Coverage,hard,multi_hop
Q030,im sick on a hybrid day should i just work from home,answered,Remote work is allowed only when the employee can work safely and productively and the manager approves; otherwise the employee should use the sick-absence process and notify the manager before the shift where possible.,BPT-HR-HYB-005|BPT-HR-SICK-002,8. Working While Unwell|4. Requesting Medical Leave,hard,multi_hop
